experiment,gene,matched_mock_rs,RPF_repression,score_percentile,rpf_decreased,quartile
U2OS_miR1,CAAP1,0.1444314867258072,1.20603931,1.0,True,Q4
U2OS_miR1,FNDC3A,0.1183050125837326,0.704121355,0.8888888888888888,True,Q4
U2OS_miR1,C6orf120,0.1164920851588249,-0.788415919,0.7777777777777778,False,Q3
U2OS_miR1,DICER1,0.1110584288835525,1.063828868,0.6666666666666666,True,Q3
U2OS_miR1,DDX5,0.0906463339924812,0.77728523,0.5555555555555556,True,Q2
U2OS_miR1,NCL,0.0896186530590057,0.5071271399999999,0.4444444444444444,True,Q2
U2OS_miR1,SNTB2,0.088823989033699,0.779853132,0.3333333333333333,True,Q1
U2OS_miR1,ZBTB38,0.0786362513899803,0.458858622,0.2222222222222222,True,Q1
U2OS_miR1,GNAI3,0.0713576301932334,0.337538565,0.1111111111111111,True,Q1
U2OS_miR155,ZWILCH,0.1863572895526886,0.901560894,1.0,True,Q4
U2OS_miR155,ORC6,0.1861186027526855,-0.290129429,0.9824561403508772,False,Q4
U2OS_miR155,NEMF,0.1791296899318695,0.246809521,0.9649122807017544,True,Q4
U2OS_miR155,NR1D2,0.1593099534511566,2.32593347,0.9473684210526316,True,Q4
U2OS_miR155,TSHZ3,0.1587582528591156,2.090551023,0.9298245614035088,True,Q4
U2OS_miR155,TMEM123,0.1560320854187011,1.314859798,0.912280701754386,True,Q4
U2OS_miR155,ZMYM2,0.1543035805225372,0.233601589,0.8947368421052632,True,Q4
U2OS_miR155,ANXA2,0.1470985561609268,1.36283786,0.8771929824561403,True,Q4
U2OS_miR155,RNF19A,0.1434518694877624,1.846786273,0.8596491228070176,True,Q4
U2OS_miR155,ZNF160,0.1399197280406952,0.15479561,0.8421052631578947,True,Q4
U2OS_miR155,UACA,0.1305703222751617,1.027556543,0.8245614035087719,True,Q4
U2OS_miR155,ITGA4,0.1298568099737167,0.441099795,0.8070175438596491,True,Q4
U2OS_miR155,SLC6A15,0.1276800632476806,0.7810961829999999,0.7894736842105263,True,Q4
U2OS_miR155,PAQR3,0.1232014670968055,1.701222606,0.7719298245614035,True,Q4
U2OS_miR155,CIAPIN1,0.1226508840918541,0.338377605,0.7543859649122807,True,Q3
U2OS_miR155,EMSY,0.114620640873909,-0.4317492269999999,0.7368421052631579,False,Q3
U2OS_miR155,ANTXR1,0.1132101565599441,0.187217088,0.7192982456140351,True,Q3
U2OS_miR155,LAMP2,0.1096647232770919,0.265862373,0.7017543859649122,True,Q3
U2OS_miR155,DUSP14,0.1067690104246139,0.443606651,0.6842105263157895,True,Q3
U2OS_miR155,RABGAP1,0.1039942279458046,1.130706731,0.6666666666666666,True,Q3
U2OS_miR155,MYLK,0.1003333255648613,0.791069838,0.6491228070175439,True,Q3
U2OS_miR155,WDFY1,0.0993408635258674,1.394523056,0.631578947368421,True,Q3
